Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,ExtraIncome,LoanAmount,Loan_Amount_Term,lastloanpaid,Property_Area,Loan_Status
1,0,0,0,0,438675,0.0,10980.912162162162,360.0,1.0,2,Y
1,1,1,0,0,343725,113100.0,9600.0,360.0,1.0,0,N
1,1,0,0,2,225000,0.0,4950.0,360.0,1.0,2,Y
1,1,0,1,0,193725,176850.0,9000.0,360.0,1.0,2,Y
1,0,0,0,0,450000,0.0,10575.0,360.0,1.0,2,Y
1,1,2,0,2,406275,314700.0,20025.0,360.0,1.0,2,Y
1,1,0,1,0,174975,113700.0,7125.0,360.0,1.0,2,Y
1,1,3,0,0,227700,187800.0,11850.0,360.0,0.0,1,N
1,1,2,0,0,300450,114450.0,12600.0,360.0,1.0,2,Y
1,1,1,0,0,963075,822600.0,26175.0,360.0,1.0,1,N
1,1,2,0,0,240000,52500.0,5250.0,360.0,1.0,2,Y
1,1,2,0,1,187500,138000.0,8175.0,360.0,1.0,2,Y
1,1,2,0,0,230475,607950.0,15000.0,360.0,1.0,2,Y
1,0,0,0,0,138975,213000.0,8550.0,360.0,1.0,0,N
1,1,2,0,0,97425,81450.0,1275.0,120.0,1.0,2,Y
1,0,0,0,0,371250,0.0,9375.0,360.0,1.0,2,Y
1,0,1,1,0,269700,0.0,7500.0,240.0,1.0,2,Y
0,0,0,0,0,263250,0.0,5700.0,360.0,0.0,2,N
1,1,0,1,0,366525,0.0,9975.0,360.0,1.0,0,N
1,1,0,0,1,195000,262500.0,8625.0,360.0,1.0,2,Y
1,1,0,1,0,574500,0.0,7800.0,360.0,0.0,2,N
1,1,1,0,0,446625,421875.0,23625.0,360.0,1.0,2,Y
1,1,0,1,0,195000,143325.0,8700.0,360.0,0.0,1,N
2,1,2,1,0,252375,143775.0,8400.0,360.0,0.0,0,N
1,1,1,0,1,278775,219375.0,11325.0,360.0,1.0,1,N
1,1,0,0,2,717000,0.0,14325.0,360.0,1.0,1,Y
1,1,0,0,0,209925,168975.0,9150.0,360.0,1.0,1,Y
1,1,2,1,0,316950,78000.0,8250.0,360.0,1.0,2,Y
1,0,0,1,0,108150,0.0,2625.0,360.0,1.0,2,N
0,0,2,0,1,281250,156225.0,9000.0,360.0,1.0,1,Y
1,1,1,0,1,312450,252675.0,15075.0,360.0,1.0,2,N
1,0,0,0,0,237525,0.0,5550.0,360.0,1.0,2,N
1,0,1,0,2,351900,0.0,7950.0,360.0,1.0,0,N
1,1,0,0,0,262500,125025.0,8550.0,360.0,1.0,1,Y
1,0,3,0,0,937500,225000.0,24000.0,360.0,1.0,0,N
1,1,0,0,0,170625,155025.0,10980.912162162162,360.0,1.0,2,Y
1,1,0,0,0,137100,99750.0,7500.0,360.0,0.0,2,N
0,1,0,0,0,275025,109425.0,10800.0,360.0,1.0,1,Y
1,0,0,0,0,312450,540750.0,13800.0,360.0,1.0,2,Y
1,0,0,1,0,281100,125100.0,8250.0,360.0,1.0,1,Y
1,0,0,0,0,270000,0.0,6000.0,360.0,1.0,2,N
1,0,0,0,0,135000,90975.0,3525.0,360.0,1.0,2,Y
1,1,0,0,0,180000,0.0,5625.0,360.0,1.0,2,Y
1,1,0,0,0,295575,175200.0,10050.0,360.0,1.0,1,Y
1,1,0,1,2,352125,0.0,7200.0,360.0,1.0,2,Y
0,0,0,0,0,255750,0.0,6600.0,360.0,1.0,2,Y
1,1,1,0,0,423675,0.0,3300.0,360.0,1.0,2,Y
1,1,0,0,0,436575,0.0,10800.0,360.0,1.0,2,Y
0,1,0,0,0,198375,258000.0,9000.0,360.0,0.0,2,N
0,0,0,0,0,300000,170625.0,10800.0,360.0,1.0,1,Y
0,1,0,1,0,144600,123300.0,7500.0,360.0,1.0,1,Y
0,0,0,0,0,231450,0.0,9000.0,360.0,1.0,1,Y
0,0,0,0,0,317250,0.0,8400.0,360.0,1.0,1,N
1,1,2,0,0,346200,0.0,10050.0,360.0,1.0,2,N
0,1,1,0,2,862500,0.0,21450.0,360.0,0.0,2,N
1,1,2,0,0,203100,87525.0,7275.0,360.0,1.0,1,Y
1,1,0,0,0,159900,119325.0,7200.0,360.0,1.0,1,Y
1,1,0,0,0,252450,165000.0,10125.0,360.0,1.0,0,N
1,1,1,0,0,606000,168750.0,13500.0,360.0,1.0,2,Y
1,1,2,1,0,251775,214425.0,10800.0,360.0,1.0,2,Y
1,1,0,0,0,187500,284700.0,9000.0,360.0,1.0,2,Y
1,1,3,0,0,227175,0.0,7425.0,360.0,1.0,2,Y
1,1,0,1,2,195675,258675.0,12375.0,180.0,0.0,0,N
1,1,1,0,0,370875,0.0,10980.912162162162,360.0,0.0,0,N
0,0,0,0,0,312450,0.0,8700.0,360.0,0.0,1,N
1,1,0,0,0,429450,344625.0,19350.0,360.0,1.0,1,N
1,0,0,1,0,240000,169050.0,9450.0,180.0,0.0,2,N
1,1,1,0,0,806250,0.0,23400.0,360.0,1.0,2,Y
1,1,3,1,2,532500,0.0,9375.0,60.0,1.0,2,Y
0,0,0,0,0,322500,0.0,10200.0,360.0,0.0,1,N
1,1,0,0,0,240600,229950.0,12900.0,360.0,1.0,2,Y
1,1,2,1,2,140625,140625.0,7275.0,360.0,1.0,1,Y
1,0,0,0,0,262500,0.0,6075.0,300.0,1.0,1,Y
1,1,3,1,0,356625,0.0,7125.0,360.0,0.0,1,N
1,1,3,0,2,394950,133050.0,14025.0,360.0,1.0,1,Y
1,0,0,0,0,281250,0.0,8475.0,480.0,1.0,2,N
